district_code,state,district_number,total_population,pop_25_34,yp_estimate,yp_density_pct,yp_share_of_cohort_pct,swing_state,pct_bachelors,pct_employed,pct_income_40k_200k,pct_not_enrolled
NJ-10,NJ,10,764061,115180,17295,2.26,15.02,False,0.38180239624934886,0.7417433582219135,0.5986324647177932,0.8856832783469353
CA-6,CA,6,755594,120294,16983,2.25,14.12,False,0.30654895506010277,0.756438392604785,0.6970626961420043,0.8734101451443962
CA-49,CA,49,756381,98697,17030,2.25,17.25,False,0.4311377245508982,0.7325146660992735,0.6292717188597448,0.8682432090134452
FL-15,FL,15,785390,105582,17639,2.25,16.71,False,0.35306207497490105,0.7822924362107178,0.6831766850299889,0.8853687181527155
WA-8,WA,8,768045,88120,17136,2.23,19.45,False,0.4082274171584203,0.8030866999546074,0.6503475238922676,0.9120403994552883
TX-10,TX,10,765079,94626,16995,2.22,17.96,False,0.3926299325766703,0.7887261429205504,0.6683148324001004,0.8678164563650582
TX-20,TX,20,797033,131662,17625,2.21,13.39,False,0.2973295256034391,0.7687487657790403,0.6774292742927429,0.8645167170481992
WI-1,WI,1,733336,89909,16212,2.21,18.03,True,0.3283542248273254,0.8101302428010544,0.7499362336841405,0.9038917127317622
CA-19,CA,19,753931,90983,16699,2.21,18.35,False,0.4651967950056604,0.7822120615939241,0.5962535199771457,0.8459162700724311
MI-4,MI,4,774289,98820,17030,2.2,17.23,True,0.3368447682655333,0.7973891924711597,0.709054126584369,0.9048876745598057
NC-6,NC,6,745094,96486,16402,2.2,17.0,True,0.37024024210766326,0.7864767945608689,0.6698320799863271,0.8715668594407479
SC-2,SC,2,735646,94895,16163,2.2,17.03,False,0.35991358870330364,0.7630012118657463,0.6889103700123517,0.9003003319458349
CA-38,CA,38,754110,107134,16549,2.19,15.45,False,0.32757107920921463,0.7710250714059029,0.7330241129435282,0.8343476394048575
ID-2,ID,2,922606,124575,20238,2.19,16.25,False,0.330162552679109,0.7709331727874774,0.7389537352362631,0.8637206502107164
WA-2,WA,2,770694,107391,16849,2.19,15.69,False,0.31545474015513403,0.7482563715767615,0.7378696408472322,0.9008296784646758
LA-1,LA,1,768258,99571,16681,2.17,16.75,False,0.35615791746592884,0.7727450763776602,0.6850098415000518,0.8885920599371303
IL-16,IL,16,751284,85011,16315,2.17,19.19,False,0.3462610720965522,0.8130477232358165,0.7450025044396885,0.9150345249438308
IL-14,IL,14,757406,93912,16339,2.16,17.4,False,0.3336314847942755,0.8033904080415708,0.7235178786139065,0.8971696907743419
OH-13,OH,13,785253,101630,16974,2.16,16.7,False,0.3457935648922562,0.8069074092295582,0.6629325195648964,0.9029420446718489
WA-10,WA,10,768909,120422,16623,2.16,13.8,False,0.28974772051618475,0.6913437743933832,0.772391202620496,0.8921791699191177
SC-6,SC,6,732601,112099,15849,2.16,14.14,False,0.33942318843165414,0.7551360850676634,0.6167889964843027,0.8943166308352438
VA-5,VA,5,789918,96277,17090,2.16,17.75,False,0.38508678085108594,0.7627055267613241,0.6815661193153917,0.8867330722810225
CA-4,CA,4,764345,98715,16448,2.15,16.66,False,0.3518208985463202,0.7742896216380489,0.7168331812286853,0.8532644481588411
CA-10,CA,10,755993,84579,16192,2.14,19.14,False,0.5170787074805803,0.7846037432459594,0.5375509762171136,0.877818370990435
TX-31,TX,31,780858,103742,16619,2.13,16.02,False,0.343486726687359,0.7236220624240906,0.7174761534938368,0.8982764936091457
OK-1,OK,1,792397,111526,16810,2.12,15.07,False,0.3075785018740025,0.7919139931495794,0.6835726736946958,0.9052597600559511
NM-1,NM,1,707680,96539,15035,2.12,15.57,False,0.35812469571882866,0.7699789722288402,0.6601535316631872,0.8555402479826806
AR-2,AR,2,751268,100730,15882,2.11,15.77,False,0.3436215625930706,0.778328204109997,0.6564472230987694,0.8980442767795096
KS-1,KS,1,734313,92506,15479,2.11,16.73,False,0.3309190755194258,0.7984671264566623,0.7142152888849937,0.8866668108014615
MA-9,MA,9,779745,81723,16420,2.11,20.09,False,0.4031300857775657,0.8084382609546884,0.6771860161608309,0.9103801867283384
NY-5,NY,5,800945,110953,16874,2.11,15.21,False,0.3531675574342289,0.732219948987409,0.674505910458875,0.8718826890665416
CT-5,CT,5,723512,85729,15209,2.1,17.74,False,0.3860420627792229,0.7951101727536772,0.6449982701527208,0.8960795063514096
CA-31,CA,31,749679,107134,15719,2.1,14.67,False,0.30163160154572777,0.7787537103067187,0.7328595252567759,0.8522877891239009
CA-35,CA,35,767456,125780,16005,2.09,12.72,False,0.2711480362537764,0.7664891079662903,0.7216982261269241,0.8483781205279058
VA-3,VA,3,778421,131953,16186,2.08,12.27,False,0.3045023606890332,0.6803179920123074,0.6930407856615114,0.854372390169227
OH-8,OH,8,784012,94676,16315,2.08,17.23,False,0.31798977565592124,0.8240208711817145,0.7207075763062046,0.9124910220119143
TX-25,TX,25,778250,103486,16111,2.07,15.57,False,0.3094138337552906,0.7772065786676459,0.7210152262629062,0.8978605801750962
KS-4,KS,4,733242,96543,15151,2.07,15.69,False,0.31447127186849383,0.7895963456698052,0.712349947387635,0.8872315962835213
IL-13,IL,13,751712,103176,15502,2.06,15.02,False,0.3487729704582461,0.7843975343103047,0.6397614118111012,0.8584651469333954
OH-10,OH,10,784983,105418,16087,2.05,15.26,False,0.3276195716101615,0.7738147185490144,0.6790215404257789,0.8864994592953765
NV-2,NV,2,777013,109503,15963,2.05,14.58,True,0.2744947627005653,0.8033478534834662,0.7399995943040285,0.8933179912879099
GA-10,GA,10,770605,99091,15731,2.04,15.88,True,0.3245198857615727,0.7675671857181783,0.718698637847574,0.8868111130173275
MT-2,MT,2,544607,67812,11134,2.04,16.42,False,0.307143278475786,0.7986934465876246,0.7251433178072375,0.9229782339408954
WI-3,WI,3,735541,85262,14938,2.03,17.52,True,0.3047547559287842,0.822898829490277,0.7695853607431379,0.907813562900237
CA-26,CA,26,757602,98921,15410,2.03,15.58,False,0.33338724841034767,0.7794704865498732,0.6806726378644187,0.8807128921058218
NY-17,NY,17,775256,83253,15711,2.03,18.87,False,0.4591306019002318,0.7761041644144956,0.5801253494731021,0.9128800163357477
TN-3,TN,3,771173,101513,15642,2.03,15.41,False,0.30891609941583836,0.7810822259218031,0.696597120061851,0.9167397279166215
FL-24,FL,24,780118,114423,15806,2.03,13.81,False,0.3293918180785332,0.7563514328412994,0.6271385122291218,0.8841142078078708
IL-10,IL,10,753313,83818,15304,2.03,18.26,False,0.408635376649407,0.7770526617194398,0.6488671352690784,0.8861819656875611
TX-9,TX,9,757232,114279,15307,2.02,13.39,False,0.32734798169392454,0.7409410302855293,0.6338600747491968,0.8712274346117834
FL-16,FL,16,774262,90180,15625,2.02,17.33,False,0.336216455976935,0.788445331559104,0.727978962098,0.8978154801508095
WI-6,WI,6,734872,84407,14743,2.01,17.47,True,0.298375727131636,0.8296942196737237,0.7717251663225511,0.9142369708673451
IN-3,IN,3,753447,96669,15005,1.99,15.52,False,0.28081391138834577,0.8034219863658464,0.7465719063545151,0.921526032130259
FL-13,FL,13,768555,83798,15301,1.99,18.26,False,0.36177474402730375,0.7969402611040837,0.7092782940749764,0.8928852717248622
IA-4,IA,4,796327,91248,15685,1.97,17.19,False,0.3048943538488515,0.8368073820796073,0.7425616951087991,0.9073185165702262
GA-13,GA,13,765369,109821,15033,1.96,13.69,True,0.2890521849190956,0.7838573678986714,0.6786438287745689,0.8902213602134382
NY-18,NY,18,778056,95364,15222,1.96,15.96,False,0.3417851600184556,0.7568369615368483,0.6871416257542255,0.8980013422255778
AZ-8,AZ,8,784453,95924,15392,1.96,16.05,True,0.3209103039906593,0.7798465451816021,0.7349100652323833,0.8724719569659314
VA-6,VA,6,783906,96421,15380,1.96,15.95,False,0.3073915433359953,0.7903361300961409,0.7210380407900338,0.9106107590670083
MA-1,MA,1,778095,95626,15237,1.96,15.93,False,0.33762784180034716,0.7757304498776484,0.6726925043915238,0.9043879279693807
TX-8,TX,8,771642,98001,15151,1.96,15.46,False,0.31579269599289805,0.7651758655523924,0.7188845472925549,0.8900113264150366
MD-1,MD,1,773966,90064,15119,1.95,16.79,False,0.33988052940131463,0.7919590513412684,0.7022092165564275,0.8881017942796233
PA-16,PA,16,765331,88624,14944,1.95,16.86,True,0.3449404224589276,0.7717548293915869,0.6875480718030033,0.9212741469579346
WA-6,WA,6,771582,106845,15054,1.95,14.09,False,0.3023632364640367,0.7092517197809911,0.7355891199862983,0.8931723524732088
CA-18,CA,18,759200,113835,14760,1.94,12.97,False,0.2837352308165327,0.7666095664777968,0.6729815638906548,0.8857732683269645
WA-5,WA,5,773672,106706,15007,1.94,14.06,False,0.30628080895169907,0.7395085562198939,0.7140889496372621,0.8695481041365997
IN-9,IN,9,754891,94373,14661,1.94,15.54,False,0.2974261706208344,0.7963612473906732,0.7378682698375792,0.8888983077787079
CA-8,CA,8,752780,108916,14415,1.91,13.23,False,0.28633075030298577,0.7640383414741636,0.6913429798511612,0.8751055859561497
AK-AL,AK,0,734821,115277,13994,1.9,12.14,False,0.26636709838042283,0.6879516295531632,0.7404080611883376,0.8947491693919862
NY-23,NY,23,776787,87272,14727,1.9,16.87,False,0.3299798331652764,0.7749449995416628,0.7061768028060162,0.9344807040058667
CA-43,CA,43,747415,118241,14222,1.9,12.03,False,0.27573345962906265,0.7494777615209615,0.6558071909115553,0.8875263233565346
NY-19,NY,19,774864,86389,14649,1.89,16.96,False,0.36616930396231,0.767285186771464,0.6826754055547185,0.8840940397504312
TN-9,TN,9,767305,123630,14517,1.89,11.74,False,0.30423845344980993,0.745045700881663,0.5842131816722469,0.8867022567338024
WY-AL,WY,0,577929,73997,10867,1.88,14.69,False,0.27833560820033243,0.8026271335324405,0.7356467878980386,0.8935902806870549
TN-4,TN,4,771866,102430,14403,1.87,14.06,False,0.26127111197891245,0.7774577760421751,0.7570949696584283,0.9143219759835985
IL-4,IL,4,735314,103290,13750,1.87,13.31,False,0.29364894955949267,0.7405460354342144,0.6703049834746709,0.9132733081614871
FL-1,FL,1,772291,110247,14380,1.86,13.04,False,0.30697433943780783,0.6730432574129002,0.713992297817715,0.8842054659083693
NE-3,NE,3,653047,73298,12125,1.86,16.54,False,0.28274987039209803,0.844702447542907,0.745120780675092,0.9295205871920107
AZ-6,AZ,6,784933,95753,14628,1.86,15.28,True,0.33754555993023716,0.7202385303854709,0.7208241603161163,0.8717846960408551
IL-1,IL,1,754024,98003,14047,1.86,14.33,False,0.3558156382967868,0.7389569707049785,0.6142751479289941,0.8874422211564952
FL-22,FL,22,768503,89280,14267,1.86,15.98,False,0.3204413082437276,0.7977710573476703,0.6999404506363472,0.8930779569892473
PA-14,PA,14,763254,85331,14135,1.85,16.56,True,0.31844230115667227,0.7680678768560077,0.7253206230652056,0.9337755329247284
FL-26,FL,26,775185,96582,14231,1.84,14.73,False,0.3103683916257688,0.7867925700441076,0.6844422133837896,0.8815617816984531
CA-20,CA,20,762132,109391,13997,1.84,12.8,False,0.2874368092439049,0.7261657723213062,0.7130300282681743,0.8597690852081067
PA-15,PA,15,765029,87936,13903,1.82,15.81,True,0.32496360989810774,0.743995633187773,0.7222538786293351,0.9053971069868996
OH-9,OH,9,784857,101292,14215,1.81,14.03,False,0.2928464241993445,0.7944358883228685,0.6685630463654925,0.9022331477313115
OH-5,OH,5,785703,91274,14199,1.81,15.56,False,0.29300786642417337,0.8093213839647654,0.7230077261485259,0.907355873523676
MN-7,MN,7,713351,77751,12892,1.81,16.58,False,0.27552057208267416,0.8414940000771695,0.7686139609249143,0.9304703476482618
NC-11,NC,11,746329,86716,13482,1.81,15.55,True,0.31476313483094237,0.8061488076018266,0.6769430284665066,0.9051155496102219
MO-6,MO,6,769064,92732,13862,1.8,14.95,False,0.28359142475089505,0.7725164991588664,0.7414631948824218,0.9202648492429798
FL-28,FL,28,764574,96979,13725,1.8,14.15,False,0.3068705596056878,0.7546169789335836,0.6900778640044717,0.8856453458996277
WA-3,WA,3,770201,99407,13821,1.79,13.9,False,0.26671159978673536,0.7609423883629926,0.749742681644624,0.9137183498143994
CO-3,CO,3,723027,88668,12926,1.79,14.58,False,0.293138449045879,0.7755898407542744,0.704973346611212,0.9095502323273335
CA-44,CA,44,756441,117632,13560,1.79,11.53,False,0.2540295157780196,0.7569198857453754,0.689991456923178,0.8688707154515778
CA-48,CA,48,764088,97227,13582,1.78,13.97,False,0.3028891151634834,0.7403807584312999,0.7179457167752591,0.8676705030495644
OH-14,OH,14,785932,90334,13815,1.76,15.29,False,0.30420439701552016,0.783104921734895,0.7003650924508303,0.9166205415458188
MO-4,MO,4,771882,96445,13560,1.76,14.06,False,0.27408367463321065,0.7529265384415988,0.7469227091279064,0.9121675566384986
CA-3,CA,3,764866,83652,13455,1.76,16.08,False,0.36538277626356813,0.755666331946636,0.6551560549313359,0.8891478984363793
FL-8,FL,8,773536,83231,13499,1.75,16.22,False,0.33145102185483777,0.7619997356754094,0.7217921480748523,0.8896444834256467
AZ-3,AZ,3,807937,135873,14169,1.75,10.43,True,0.22147152119994407,0.7608796449625753,0.6737534093293237,0.9184606213154931
OH-4,OH,4,787372,92048,13758,1.75,14.95,False,0.2872088475577959,0.7705762211020337,0.7274347897413463,0.9283960542325743
TX-6,TX,6,763185,106404,13261,1.74,12.46,False,0.25307319273711515,0.7615785120860118,0.7168156976933692,0.9020619525581745
TX-13,TX,13,769816,109176,13388,1.74,12.26,False,0.257584084414157,0.7658734520407415,0.701524698481429,0.8860830219095772
FL-21,FL,21,776143,82810,13516,1.74,16.32,False,0.32237652457432675,0.7948315420842893,0.7164960618307324,0.8890230648472407
MN-8,MN,8,715514,79179,12448,1.74,15.72,False,0.28882658280604706,0.7948951110774322,0.745552977571539,0.9184379696636734
ID-1,ID,1,931503,115421,16226,1.74,14.06,False,0.26737768690273,0.7684910025038771,0.7601348527485999,0.9000615139359389
MI-9,MI,9,774580,82574,13477,1.74,16.32,True,0.3046237314408894,0.7947295758955604,0.7322588674548849,0.9206772107443021
MO-7,MO,7,771969,99017,13256,1.72,13.39,False,0.26998394215134774,0.7895209913449206,0.6928771940648425,0.9064504075057819
PA-9,PA,9,765339,89172,13051,1.71,14.64,True,0.274234064504553,0.7701744942358588,0.7437172086500294,0.9317723052079128
FL-20,FL,20,773320,109910,13201,1.71,12.01,False,0.2654444545537258,0.7664725684651078,0.6748206309857925,0.8748248567009371
NJ-2,NJ,2,777770,90231,13318,1.71,14.76,False,0.3102703062140506,0.7607252496370427,0.6937212863705973,0.901452937460518
FL-19,FL,19,772972,74599,13143,1.7,17.62,False,0.3376988967680532,0.8040858456547675,0.7078918496475645,0.9165940562205928
NY-21,NY,21,777284,93065,13224,1.7,14.21,False,0.2857142857142857,0.723870413152098,0.7418460707280693,0.9261591360876806
GA-1,GA,1,768625,112633,13021,1.69,11.56,True,0.2775385544201078,0.6929141548214112,0.6773662301972195,0.8874663730878162
OR-4,OR,4,705794,85589,11961,1.69,13.97,False,0.3093154494152286,0.7594901213941044,0.6863561751231104,0.8667235275561112
LA-2,LA,2,769243,114440,12907,1.68,11.28,False,0.3204211814051031,0.7259786787836421,0.5528768596522674,0.8769224047535826
FL-11,FL,11,776905,87178,13089,1.68,15.01,False,0.30879350294799146,0.7666039597146069,0.7009806438363198,0.9048154350868338
GA-9,GA,9,768577,87540,12890,1.68,14.72,True,0.29563628055745944,0.7779186657527987,0.7018003960084447,0.9123257939227781
SC-5,SC,5,733429,90190,12235,1.67,13.57,False,0.2814170085375319,0.7473112318438851,0.6985401376015069,0.9234394056990797
ME-2,ME,2,683804,78603,11452,1.67,14.57,False,0.3002302711092452,0.7713954938106689,0.6968560715315835,0.9027136368840883
CA-52,CA,52,769351,121228,12661,1.65,10.44,False,0.23638928300392648,0.7042102484574521,0.7266425922784228,0.8634061437951628
IL-15,IL,15,754127,84648,12454,1.65,14.71,False,0.27822275777336736,0.7856180890275021,0.72909114372529,0.9232232303184954
PA-8,PA,8,764480,91659,12626,1.65,13.77,True,0.2927590307552995,0.7665041076162734,0.6746295885412814,0.9099379220807559
MI-12,MI,12,770452,112113,12651,1.64,11.28,True,0.2877899975917155,0.7166697885169427,0.6109748322328964,0.8954447744686165
TX-23,TX,23,745532,102572,12180,1.63,11.87,False,0.2734079475880357,0.7030768630815427,0.696739657121761,0.886596732051632
WV-2,WV,2,899008,110307,14682,1.63,13.31,False,0.29523058373448646,0.7291649668652035,0.6788607104237652,0.9107762879962287
FL-2,FL,2,775769,103353,12550,1.62,12.14,False,0.2926668795293799,0.7064719940398441,0.6729609789990363,0.8727177730689966
NY-24,NY,24,777980,93955,12635,1.62,13.45,False,0.2670427332233516,0.7525943270714703,0.7205375328561838,0.9286786227449311
CA-41,CA,41,770422,98608,12409,1.61,12.58,False,0.27387230245010546,0.7447874411812428,0.7147929971371945,0.8630841311049814
TX-17,TX,17,777093,102537,12523,1.61,12.21,False,0.26770824190292286,0.7462574485307742,0.6771215720146837,0.9028643318997045
OK-4,OK,4,794112,108583,12675,1.6,11.67,False,0.260353830710148,0.7082139929823269,0.7060747663551402,0.8966136503872614
WI-7,WI,7,737082,76428,11757,1.6,15.38,True,0.26585806249018684,0.8258229968074527,0.7545323920784657,0.9286256345841838
LA-3,LA,3,771697,107660,12336,1.6,11.46,False,0.25756083968047555,0.7555452349990711,0.6451179382788027,0.9127066691436002
IN-2,IN,2,752670,95035,11976,1.59,12.6,False,0.248676803283001,0.7781343715473247,0.7079944794862728,0.9197979691692534
HI-2,HI,2,727404,93469,11479,1.58,12.28,False,0.2761022371053504,0.6914057067048968,0.7087143625605165,0.9077448137885288
TX-14,TX,14,768073,104398,12115,1.58,11.6,False,0.26077127914327863,0.7241230674917144,0.6772818107013475,0.9073928619322209
CA-5,CA,5,761352,91585,12039,1.58,13.15,False,0.2919146148386745,0.7362340994704373,0.7076106685489564,0.8643664355516734
OH-12,OH,12,788205,91664,12481,1.58,13.62,False,0.26244763484028627,0.7773280677256066,0.7224863268178986,0.9238086926165124
TX-19,TX,19,766171,107310,12018,1.57,11.2,False,0.24789861149939427,0.734954803839344,0.6891090518863606,0.8920137918180971
TX-11,TX,11,760697,118024,11838,1.56,10.03,False,0.23263065139293704,0.7119823086829797,0.6783765288038043,0.892682844167288
IN-8,IN,8,754480,92792,11737,1.56,12.65,False,0.24388955944477972,0.7793452021726011,0.7229758581047792,0.9204457280800069
KS-2,KS,2,734782,89377,11470,1.56,12.83,False,0.2696219385300469,0.7453595444018036,0.7031064953994717,0.9081978585094599
NC-5,NC,5,747107,88953,11547,1.55,12.98,True,0.29412161478533605,0.752386091531483,0.6461869269518368,0.9078052454667072
TX-16,TX,16,771490,115910,11912,1.54,10.28,False,0.26970062979898196,0.6796566301440773,0.6574407335169806,0.8527650763523423
PA-13,PA,13,765340,87548,11760,1.54,13.43,True,0.24589939233334857,0.7885959702106273,0.7386279782377587,0.9378055466715401
CA-39,CA,39,759924,119092,11706,1.54,9.83,False,0.20585765626574412,0.7476236858899002,0.7374880354543905,0.8659691666946562
FL-4,FL,4,775118,108993,11877,1.53,10.9,False,0.24241006303157084,0.7443138550182122,0.6760699008656517,0.8933601240446635
CA-33,CA,33,757643,118624,11538,1.52,9.73,False,0.2196941596978689,0.7268849473968169,0.7016487301926686,0.8680705422174265
IL-12,IL,12,752942,88730,11451,1.52,12.91,False,0.2684999436492731,0.7480784402118787,0.7048356346409382,0.9115518990194974
MS-1,MS,1,741109,93432,11251,1.52,12.04,False,0.2557474955047521,0.7653373576504838,0.667256341789052,0.9220502611524959
IL-17,IL,17,752786,94464,11441,1.52,12.11,False,0.2685996781842818,0.7693301151761518,0.6465579747674587,0.9065358231707317
SC-3,SC,3,731595,86629,11083,1.51,12.79,False,0.27309561463251336,0.7710581906751781,0.6618233758557849,0.9180182156090917
CA-2,CA,2,763623,83272,11519,1.51,13.83,False,0.3403665097511769,0.7418940340090306,0.6149314248394471,0.8908156403112691
MS-3,MS,3,738576,92805,11183,1.51,12.05,False,0.28982274661925544,0.7386563223964226,0.626533943676442,0.8983567695706051
FL-3,FL,3,769691,98152,11614,1.51,11.83,False,0.3010636563697123,0.7126701442660364,0.6495311758911306,0.8490402640802022
CA-27,CA,27,747561,98629,11292,1.51,11.45,False,0.2787212685924018,0.7002504334424966,0.68213702444379,0.8599803303288079
KY-2,KY,2,753141,94617,11300,1.5,11.94,False,0.2486022596362176,0.7559212403690668,0.6948933201296363,0.9145713772366488
TX-36,TX,36,762290,101178,11470,1.5,11.34,False,0.24621953389076676,0.7317203344600605,0.6981906419792161,0.9011939354405107
IN-1,IN,1,753721,92257,11189,1.48,12.13,False,0.26689573690885243,0.7347843524068635,0.6718746494986428,0.92045048072233
MI-1,MI,1,777560,81807,11484,1.48,14.04,True,0.27857029349566664,0.7712665175351743,0.7143153715405276,0.9147138997885267
AL-7,AL,7,726993,100094,10720,1.47,10.71,False,0.2962015705237077,0.7213119667512539,0.5609212126994728,0.8936299878114572
GA-3,GA,3,767633,92154,11236,1.46,12.19,True,0.25569155978036767,0.7653710093973132,0.6937180466592231,0.898116196801007
TX-5,TX,5,773020,98500,11266,1.46,11.44,False,0.2216954314720812,0.7816649746192893,0.7293211000552142,0.9049543147208122
WA-4,WA,4,769380,103324,11081,1.44,10.72,False,0.2155065618830088,0.7626011381673183,0.7111877452623158,0.9175602957686501
NC-10,NC,10,749703,89291,10658,1.42,11.94,True,0.24509749022857846,0.7728438476442194,0.6884781469186032,0.915299414274675
NC-7,NC,7,754700,89397,10665,1.41,11.93,True,0.27619495061355526,0.7352260142957817,0.6528302778302778,0.8999518999519
GA-14,GA,14,767374,98156,10786,1.41,10.99,True,0.22016993357512532,0.7472492766616406,0.7364008511031963,0.9069847997065895
AL-1,AL,1,718903,90828,10058,1.4,11.07,False,0.2545140265116484,0.729763949442903,0.6386424108164076,0.9335997709957282
TN-1,TN,1,769366,90647,10635,1.38,11.73,False,0.2603395589484484,0.7421315653027679,0.6609013843995853,0.9187838538506514
MI-13,MI,13,769958,115454,10638,1.38,9.21,True,0.2476657370034819,0.7082994092885478,0.5786299783344482,0.9077641311691236
NC-9,NC,9,747637,107687,10089,1.35,9.37,True,0.2644516051148235,0.6041769201482073,0.6758089874939628,0.8676349048631683
MI-8,MI,8,773930,96550,10432,1.35,10.8,True,0.24866908337648885,0.7469083376488865,0.6398056590043234,0.9092801657172449
MI-2,MI,2,777946,90430,10273,1.32,11.36,True,0.21882118765896275,0.7448744885546832,0.7496451317095231,0.9296914740683402
MI-5,MI,5,773808,89831,10069,1.3,11.21,True,0.22903006757132838,0.7388874664648062,0.7217228058774685,0.9177566764257328
NY-15,NY,15,764377,117050,9915,1.3,8.47,False,0.2587953865869287,0.6759077317385732,0.5476813705020217,0.8841777018368219
NC-8,NC,8,748980,85294,9732,1.3,11.41,True,0.23648791239712055,0.767615541538678,0.6793633965645628,0.9252233451356484
TX-15,TX,15,764599,105474,9940,1.3,9.42,False,0.2428181352750441,0.7035288317500047,0.6041359106846281,0.9131634336424143
TN-8,TN,8,765143,86220,9939,1.3,11.53,False,0.27261656228253306,0.7112502899559267,0.6479015310717502,0.917594525632104
OH-2,OH,2,786866,95204,10158,1.29,10.67,False,0.2228162682240242,0.7321646149321457,0.6937290613739192,0.9427334985924961
OK-3,OK,3,792662,106851,10237,1.29,9.58,False,0.21856604056115525,0.7304564299819375,0.6649564034070863,0.9024342308448213
GA-8,GA,8,767071,102124,9888,1.29,9.68,True,0.24136344052328543,0.6912870627864165,0.6475524475524476,0.8961752379460264
MO-8,MO,8,772194,92558,9928,1.29,10.73,False,0.2204131463514769,0.7692689988979883,0.6897726612012326,0.9171438449404697
VA-9,VA,9,785903,87190,10075,1.28,11.56,False,0.2683794013074894,0.7121917651106778,0.6799583143359604,0.8891386626906755
AL-2,AL,2,714527,93160,9110,1.27,9.78,False,0.23762344353799913,0.7106054100472305,0.6394957389707613,0.9056247316444827
NC-3,NC,3,746908,97530,9380,1.26,9.62,True,0.24142315185071261,0.6516046344714447,0.6941930830863544,0.880662360299395
NV-4,NV,4,787554,113614,9930,1.26,8.74,True,0.19421902230358934,0.7055204464238563,0.7062888158238088,0.903084126956185
NV-1,NV,1,756838,106339,9515,1.26,8.95,True,0.2094715955576035,0.7357977788017567,0.6462677450608703,0.8982875520740274
AZ-7,AZ,7,806472,116001,10119,1.25,8.72,True,0.21038611736105722,0.7212955060732235,0.6461394743471324,0.8896388824234274
TX-27,TX,27,768203,101963,9628,1.25,9.44,False,0.20344634818512597,0.7338053999980385,0.6889327935918222,0.9180585114208095
OH-6,OH,6,784426,90025,9688,1.24,10.76,False,0.23203554568175508,0.75394612607609,0.6656728570231211,0.9240655373507359
GA-12,GA,12,764339,103600,9489,1.24,9.16,True,0.2348166023166023,0.6859749034749035,0.6381218661182614,0.8910907335907335
AZ-9,AZ,9,811270,98881,9961,1.23,10.07,True,0.19381883273834205,0.7356013794358875,0.7764619136747773,0.9100231591508986
CA-1,CA,1,766231,102320,9390,1.23,9.18,False,0.21380961688819392,0.7020035183737294,0.6953395844482189,0.8792709147771697
MS-4,MS,4,740640,94547,9096,1.23,9.62,False,0.24575079061207653,0.7027087057230795,0.6212173679918678,0.8968343786688102
AL-3,AL,3,717658,91416,8814,1.23,9.64,False,0.2334602257810449,0.7293471602345323,0.6462766281007822,0.8761814124442111
IL-2,IL,2,755018,96999,9121,1.21,9.4,False,0.2357550077835854,0.7071310013505294,0.6285979466495554,0.897297910287735
CA-9,CA,9,762122,105475,9240,1.21,8.76,False,0.19004503436833373,0.7310547523109742,0.7047465904353523,0.8947428300545153
NC-1,NC,1,748754,92671,9001,1.2,9.71,True,0.23251070993083056,0.72090513752954,0.6498960548639156,0.8916705333923234
TX-28,TX,28,764122,103775,9132,1.2,8.8,False,0.19989400144543484,0.7082245242110334,0.6796051863100105,0.9146037099494098
KY-1,KY,1,751426,92447,8771,1.17,9.49,False,0.21636180730580765,0.7126677988469069,0.6680772531179838,0.9210466537583697
CA-23,CA,23,758852,107178,8778,1.16,8.19,False,0.20124465841870534,0.645561589132098,0.7089574121207145,0.8892309988990278
TX-1,TX,1,769305,96951,8817,1.15,9.09,False,0.1961403183051232,0.7478004352714258,0.6705581733361464,0.924611401635878
FL-12,FL,12,770735,81184,8760,1.14,10.79,False,0.22590658257784785,0.7340362633031139,0.7158782977408983,0.9089722112731573
FL-17,FL,17,785836,69022,8986,1.14,13.02,False,0.24600851902292023,0.8020341340442178,0.7314928048514902,0.9020602126858103
NM-2,NM,2,703136,93407,7886,1.12,8.44,False,0.21694305565964006,0.6770049353902813,0.6528586356172563,0.8804693438393268
SC-7,SC,7,738013,83736,8202,1.11,9.8,False,0.22419270086939908,0.7476115410337251,0.6346715127484993,0.9208106429731537
OR-2,OR,2,705019,85806,7803,1.11,9.09,False,0.1953359904901755,0.7169545253245694,0.7113689642076038,0.9127799920751463
CA-21,CA,21,758893,118573,8124,1.07,6.85,False,0.18078314624745936,0.6899041097045702,0.61983126071099,0.886247290698557
GA-2,GA,2,757675,102944,7552,1.0,7.34,True,0.2231213086726764,0.646603978862294,0.5765217297273917,0.8820523779919179
NM-3,NM,3,701647,89532,6932,0.99,7.74,False,0.20530089800294868,0.6681968458204888,0.6264095113693919,0.9010186302104276
FL-18,FL,18,780642,99457,7693,0.99,7.74,False,0.1690680394542365,0.7371929577606403,0.6691460396039604,0.9274359773570487
AL-4,AL,4,717747,84999,6946,0.97,8.17,False,0.17967270203178862,0.7516676666784315,0.6515253343875601,0.9286697490558713
TX-34,TX,34,774101,98900,7521,0.97,7.6,False,0.2048736097067745,0.7054903943377149,0.579355594038879,0.908129423660263
TX-29,TX,29,774018,113079,7421,0.96,6.56,False,0.16089636448854341,0.7275179299427834,0.6092263024893811,0.9202062275046649
