district_code,state,district_number,total_population,pop_25_34,yp_estimate,yp_density_pct,yp_share_of_cohort_pct,swing_state,pct_bachelors,pct_employed,pct_income_40k_200k,pct_not_enrolled
CA-47,CA,47,753964,117510,30473,4.04,25.93,False,0.6240830567611267,0.8185601225427623,0.6041121084301222,0.8402944430261254
VA-11,VA,11,780750,102003,31446,4.03,30.83,False,0.6903914590747331,0.8396909894807015,0.6115072916774481,0.8696214817211259
CO-7,CO,7,719604,108010,28963,4.02,26.82,False,0.5038237200259236,0.8383668178872327,0.7098388508469341,0.8943616331821128
CO-2,CO,2,718206,104234,28395,3.95,27.24,False,0.5496575013911008,0.8330966863019744,0.6952504119647066,0.8556517067367654
AZ-4,AZ,4,801287,144509,30899,3.86,21.38,True,0.40851434858728525,0.8266820751648686,0.7332712996065756,0.8634548713228933
PA-17,PA,17,760507,98417,28966,3.81,29.43,True,0.5351920907973216,0.8453620817541685,0.7088450726930169,0.9177276283568896
OR-3,OR,3,701275,116387,26725,3.81,22.96,False,0.4364748640312062,0.8218099959617483,0.7131389905918339,0.8976517995996116
MN-4,MN,4,708545,106362,26802,3.78,25.2,False,0.4926007408660988,0.8476053477745812,0.6941565801724487,0.8694176491604144
GA-11,GA,11,770928,113682,29006,3.76,25.52,True,0.4644094931475519,0.8267535757639732,0.7395943504834287,0.8985151563132246
AZ-1,AZ,1,789173,114098,29708,3.76,26.04,True,0.5031902399691494,0.8472979368612947,0.6720743395434939,0.9086749986853406
TN-5,TN,5,767227,106533,28462,3.71,26.72,False,0.4928895271887584,0.8447523302638619,0.6969468771499229,0.9206724676860691
TX-35,TX,35,768499,147787,28465,3.7,19.26,False,0.3812716950746683,0.807878906805064,0.6968455175155583,0.8973387375073586
MN-3,MN,3,707707,88885,26148,3.69,29.42,False,0.5449400911289869,0.8721269055521179,0.6888296442815218,0.8986105642121843
FL-14,FL,14,772661,128061,28353,3.67,22.14,False,0.4523000757451527,0.833790146883126,0.6618144030279477,0.8870772522469761
CA-51,CA,51,762631,133659,27925,3.66,20.89,False,0.4793990677769548,0.7662334747379526,0.6862096895720313,0.8288480386655593
NY-6,NY,6,755796,109567,27232,3.6,24.85,False,0.5218085737493954,0.7971925853587303,0.6733530912794223,0.8873200872525486
NC-4,NC,4,743550,109609,26670,3.59,24.33,True,0.5159521572133675,0.8090211570217775,0.6825185170765892,0.8540539554233685
TX-26,TX,26,775735,106626,27603,3.56,25.89,False,0.46927578639356254,0.8417646727814979,0.7220506140677335,0.9076397876690488
NE-2,NE,2,652597,94894,23111,3.54,24.35,False,0.4632326595991317,0.8385040150062175,0.7112415852609202,0.8815731236959133
NY-9,NY,9,761493,126565,26861,3.53,21.22,False,0.4910204242879153,0.759072413384427,0.6449776624873901,0.8828270058863035
MI-3,MI,3,773965,119467,27245,3.52,22.81,True,0.4124402554680372,0.8283124210032896,0.7330070127547419,0.9106866331288138
OH-1,OH,1,785183,114891,27525,3.51,23.96,False,0.5117459156940056,0.8072782028183234,0.6525529265255293,0.8886857978431731
CO-6,CO,6,721810,111285,25250,3.5,22.69,False,0.4308307498764434,0.8228242800017972,0.716416320443166,0.8933818573931797
WA-9,WA,9,762237,128824,26539,3.48,20.6,False,0.4418664224057629,0.7986865801403465,0.6489951995911439,0.8994442029435509
IL-8,IL,8,753960,101039,26069,3.46,25.8,False,0.4503013687783925,0.8404774394045863,0.7599828757960079,0.8970199625887034
PA-4,PA,4,764402,89631,26219,3.43,29.25,True,0.5523981658131674,0.8426214144659772,0.6906821148825065,0.909908402226908
CA-32,CA,32,764598,113219,26200,3.43,23.14,False,0.5465337090064388,0.7883659103154064,0.6204185454965891,0.8656585908725567
MO-1,MO,1,766456,126448,25939,3.38,20.51,False,0.448144691889156,0.8189295204352778,0.6350675177213971,0.880156269770973
NJ-6,NJ,6,772409,107653,26042,3.37,24.19,False,0.5065163070234922,0.804102068683641,0.6712796312554873,0.8847779439495416
MO-5,MO,5,768398,122037,25833,3.36,21.17,False,0.40929390266886273,0.832698280029827,0.6870909090909091,0.9039635520374968
NC-12,NC,12,742097,109874,24879,3.35,22.64,True,0.4315124597265959,0.8259915903671479,0.7079224376731302,0.8973915576023445
NY-20,NY,20,779088,102590,25945,3.33,25.29,False,0.48022224388341944,0.8287747343795692,0.7027503526093088,0.9042109367384735
IA-3,IA,3,799081,111447,26542,3.32,23.82,False,0.41277019569840373,0.8429746875196281,0.7468321584569476,0.91648047951044
TX-38,TX,38,764141,102030,25281,3.31,24.78,False,0.4934725080858571,0.80630206801921,0.6930805137463635,0.8985102420856611
OH-15,OH,15,781788,120738,25829,3.3,21.39,False,0.3863903659162815,0.8098941509715252,0.7512471674866237,0.9099537842270039
FL-10,FL,10,785358,139823,25753,3.28,18.42,False,0.39768135428363,0.7954342275591283,0.6688364450543498,0.8705577766175808
